Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,intv_test_loss 
71,96.444776022073,81.6611832937245,76.02001480602647,69.21014272137253,953.7237879813423,2625.3337268729615,257.1035613751483,84.30479810607794 
72,91.62483603665324,96.56447126616291,95.16034310227406,81.74353826231108,740.2029507312109,2188.2631066712083,333.49864093598296,96.47419389597489 
73,129.84319331519532,79.3031327342267,85.17996541924933,65.62605005316436,1031.5669984252293,2508.626599837324,209.801775144384,75.39354189133519 
74,194.77566263892433,311.8565298823895,343.49366251029113,255.7751100065572,976.4613462508307,1858.4615814037668,444.2054355945671,237.12563923182535 
75,99.13325474569292,56.724763169180534,58.447375556458105,42.52787008094674,632.2651624150533,2068.0658624002926,212.54623112121917,51.67413312474473 
76,53.14423448660157,70.00626078766396,70.02611660686347,71.63791440982185,801.0422820001811,2335.434354763711,221.53213091378348,86.35644154290729 
77,99.92349071033073,126.43018589561446,125.30992816030792,113.3455962606502,752.9204230605243,2180.7005286313915,408.5300961187313,110.72965839715107 
78,54.951644259871856,92.96294587793818,102.90415235273151,82.53335085232393,888.6244757081855,2906.640170792965,236.51513922787927,93.83305117604687 
79,91.7011886383548,79.062318423598,90.92566265856537,74.7750031856187,966.4531415894038,3471.4829681217957,283.85086254728736,83.92728255450274 
80,103.38561232342865,149.07168049817724,166.11608575617234,140.99441341736383,721.1462234100503,2179.3445252119564,257.7732683919472,148.33707828803907 
81,54.80349258039937,121.79648832056652,137.30315843938297,109.03709496734737,830.2115693660038,2467.9289735418743,223.85704280229692,119.82502549958608 
82,43.32315795349352,45.61851053057035,49.281064495279374,37.59669156055752,905.5608657387021,2788.5218208258098,215.319723045751,45.2948078643416 
83,76.82883689800899,77.27807488423099,80.41932658723655,68.2957567726291,1007.5729137222435,2775.8665243353694,204.26450785291382,70.57882182075191 
84,71.01809917525811,189.1103593599724,212.03487883747584,176.8339637256344,1048.6860491028397,2600.1522740541654,294.45159221829397,199.77937199751105 
85,107.26145444945855,65.19085742290675,68.1649589019467,67.65601729558549,1052.7740799677172,2270.0722709383817,260.0200598534881,72.81534448800521 
86,125.35657291159485,221.11418624840573,251.2264758813997,213.32588015464134,1078.3638415822215,2060.553399561628,318.45424375830333,201.03605083427684 
87,90.3150849044323,112.61223775301671,106.34699712095123,80.18053284002235,628.6824186807697,2243.5223461997334,442.14141980118944,89.83937284076237 
88,78.54799607937986,101.49727153738966,110.24265065554775,110.48176150360086,887.2659138745773,2419.1306278407806,249.9042717928067,135.78079669060025 
89,66.37339932900487,164.4408005845277,165.31766821956262,148.79267700310828,791.195265325962,2239.5681323776544,423.52478464283047,136.05718015426845 
90,207.03296625252926,69.38620680961321,84.08806407265689,52.86656675869235,543.2803697471784,1923.64379042075,317.966236507951,64.62690288867816 
91,110.04082316702062,106.86874275785198,103.44127225260874,79.11491609676759,547.3719016951464,1871.6227122126147,368.63897958736925,79.86891263068173 
92,63.92656675342357,150.7471927946875,166.37358988149046,162.4517673029477,768.6534892541691,2082.709792573098,195.42450960298956,193.38842019619477 
93,164.70254727385262,329.9546782563783,362.4428099049902,287.83262689095284,807.1544622794918,1903.7574086069621,443.6951639662031,298.15323751614847 
94,113.30613710663535,84.08233832738046,105.98246988025251,79.56559908438649,525.6173619544228,1966.5895300846234,297.70234282233287,104.24647415882299 
95,100.49684291536158,56.50033344566489,56.848751127529894,44.07565532352601,558.4155416551804,1688.7133723136735,227.5855172541291,54.252610913939314 
96,50.141365081071854,45.932211675626405,54.04798811722382,35.21422612726383,669.4865584949679,1906.059431480713,198.18328430493494,41.588621448673806 
97,125.00391299977447,98.5529602115057,94.13045124752291,87.80445142539975,489.19190110996317,1860.6061711900634,256.93979192471306,92.23760021241324 
98,145.63657745267406,343.6257477930448,359.9050317532682,422.595182104919,683.2166302466103,1702.9343596280887,507.2240066621947,404.6543811989119 
99,356.6687777186885,129.3246653275841,140.21983181143312,109.6158217765842,737.5700535356912,1111.7581444125062,457.89280350960036,113.92991036673719 
100,470.07419936584705,487.9232092306742,562.2836819406787,634.9566508180621,587.2324467352861,1347.2506461969576,289.7699388187298,735.074022264764 
